names,word,n,total,tf,idf,tf_idf
Article 10,sturgeon,2,1234,0.002967359050445104,2.302585092994046,0.006832596715115863
Article 10,thursday,2,1234,0.002967359050445104,1.6094379124341003,0.004775780155590802
Article 10,tower,2,1234,0.002967359050445104,2.302585092994046,0.006832596715115863
Article 10,trani,2,1234,0.002967359050445104,2.302585092994046,0.006832596715115863
Article 10,u.s,2,1234,0.002967359050445104,0.3566749439387324,0.0010583826229635977
Article 10,wife,2,1234,0.002967359050445104,2.302585092994046,0.006832596715115863
Article 2,2021,2,931,0.004158004158004158,0.3566749439387324,0.0014830558999531494
Article 2,30,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,ap,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,assistance,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,asthma,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,aug,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,black,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,city,2,931,0.004158004158004158,1.2039728043259361,0.005006123926511169
Article 2,collins,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,communities,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,council's,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,councilwoman,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,declaring,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,destroyed,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,discriminatory,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,elected,2,931,0.004158004158004158,1.2039728043259361,0.005006123926511169
Article 2,evacuate,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,evacuated,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,evacuating,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,father,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,floodwater,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,folks,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,fossil,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,founders,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,fuels,2,931,0.004158004158004158,1.6094379124341003,0.006692049531950521
Article 2,guard,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,heat,2,931,0.004158004158004158,0.6931471805599453,0.0028821088588771113
Article 2,hit,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,jerilyn,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,jordan,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
Article 2,katrina,2,931,0.004158004158004158,2.302585092994046,0.009574158390827633
